TransactionID,CustomerID,Date,ProductID,Price_x,Qty,TotalAmount,StoreID,Age,Gender,Marital Status,Income,Product Name,Price_y,StoreName,GroupStore,Type,Latitude,Longitude,Cluster
TR66576,250,2022-01-02,P7,9400,5,47000,5,30,1,Married,3.96,Coffee Candy,9400,Bonafid,Gita,General Trade,7.250445,112.768845,0
TR7826,181,2022-01-02,P1,8800,10,88000,12,33,1,Married,9.94,Choco Bar,8800,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,2
TR93759,34,2022-01-02,P10,15000,2,30000,4,45,0,Married,6.36,Cheese Stick,15000,Gita Ginara,Gita,General Trade,6.966667,110.416664,2
TR10346,322,2022-01-03,P3,7500,4,30000,4,41,0,Married,20.01,Crackers,7500,Gita Ginara,Gita,General Trade,6.966667,110.416664,2
TR13,285,2022-01-03,P8,16000,1,16000,6,20,0,Single,0.0,Oat,16000,Lingga,Lingga,Modern Trade,5.135399,119.42379,0
TR15573,91,2022-01-03,P2,3200,6,19200,13,59,0,Married,9.85,Ginger Candy ,3200,Buana,Buana,General Trade,1.26916,116.825264,1
TR21783,78,2022-01-03,P5,4200,5,21000,10,41,1,Married,10.34,Thai Tea,4200,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,2
TR25759,218,2022-01-03,P5,4200,4,16800,14,29,0,Married,3.52,Thai Tea,4200,Priangan,Priangan,Modern Trade,5.45,105.26667,0
TR26782,237,2022-01-03,P10,15000,4,60000,7,35,1,Married,8.14,Cheese Stick,15000,Buana Indah,Buana,General Trade,3.316694,114.590111,2
TR27698,178,2022-01-03,P6,18000,3,54000,8,43,0,Married,9.58,Cashew,18000,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,2
TR31585,144,2022-01-03,P2,3200,3,9600,6,34,0,Married,10.01,Ginger Candy ,3200,Lingga,Lingga,Modern Trade,5.135399,119.42379,2
TR36491,117,2022-01-03,P3,7500,4,30000,12,45,1,Married,12.55,Crackers,7500,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,2
TR36846,159,2022-01-03,P9,10000,2,20000,7,53,1,Married,13.65,Yoghurt,10000,Buana Indah,Buana,General Trade,3.316694,114.590111,1
TR40890,224,2022-01-03,P6,18000,3,54000,14,29,0,Married,3.31,Cashew,18000,Priangan,Priangan,Modern Trade,5.45,105.26667,0
TR45933,406,2022-01-03,P4,12000,2,24000,8,38,1,Married,8.64,Potato Chip,12000,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,2
TR45980,7,2022-01-03,P3,7500,3,22500,7,31,0,Married,4.57,Crackers,7500,Buana Indah,Buana,General Trade,3.316694,114.590111,0
TR46171,21,2022-01-03,P10,15000,3,45000,10,52,0,Married,12.72,Cheese Stick,15000,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,1
TR54686,106,2022-01-03,P2,3200,5,16000,10,24,0,Single,6.79,Ginger Candy ,3200,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,0
TR74189,202,2022-01-03,P7,9400,3,28200,10,28,0,Married,4.53,Coffee Candy,9400,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,0
TR86483,45,2022-01-03,P8,16000,3,48000,12,53,0,Married,9.25,Oat,16000,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,1
TR9341,202,2022-01-03,P7,9400,5,47000,14,28,0,Married,4.53,Coffee Candy,9400,Priangan,Priangan,Modern Trade,5.45,105.26667,0
TR14593,311,2022-01-04,P6,18000,4,72000,9,61,1,Married,7.64,Cashew,18000,Lingga,Lingga,Modern Trade,3.654703,128.190643,1
TR14970,136,2022-01-04,P10,15000,1,15000,6,28,1,Married,2.96,Cheese Stick,15000,Lingga,Lingga,Modern Trade,5.135399,119.42379,0
TR2102,23,2022-01-04,P5,4200,4,16800,14,57,1,Married,12.56,Thai Tea,4200,Priangan,Priangan,Modern Trade,5.45,105.26667,1
TR22313,194,2022-01-04,P2,3200,4,12800,2,31,1,Married,4.33,Ginger Candy ,3200,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,0
TR37381,243,2022-01-04,P10,15000,2,30000,7,38,0,Married,3.34,Cheese Stick,15000,Buana Indah,Buana,General Trade,3.316694,114.590111,2
TR41140,78,2022-01-04,P9,10000,2,20000,14,41,1,Married,10.34,Yoghurt,10000,Priangan,Priangan,Modern Trade,5.45,105.26667,2
TR45300,351,2022-01-04,P6,18000,4,72000,11,45,1,Married,18.34,Cashew,18000,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,1
TR48461,117,2022-01-04,P5,4200,2,8400,1,45,1,Married,12.55,Thai Tea,4200,Prima Tendean,Prima,Modern Trade,6.2,106.816666,2
TR49210,189,2022-01-04,P4,12000,1,12000,7,59,1,Single,5.15,Potato Chip,12000,Buana Indah,Buana,General Trade,3.316694,114.590111,1
TR50516,304,2022-01-04,P10,15000,2,30000,1,34,0,Single,8.55,Cheese Stick,15000,Prima Tendean,Prima,Modern Trade,6.2,106.816666,2
TR51256,433,2022-01-04,P9,10000,1,10000,4,48,1,Married,11.97,Yoghurt,10000,Gita Ginara,Gita,General Trade,6.966667,110.416664,1
TR57427,157,2022-01-04,P5,4200,3,12600,5,44,0,Single,2.52,Thai Tea,4200,Bonafid,Gita,General Trade,7.250445,112.768845,2
TR64821,117,2022-01-04,P3,7500,1,7500,2,45,1,Married,12.55,Crackers,7500,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,2
TR68280,36,2022-01-04,P8,16000,1,16000,12,32,1,Married,10.4,Oat,16000,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,2
TR86686,403,2022-01-04,P5,4200,2,8400,1,30,0,Married,4.06,Thai Tea,4200,Prima Tendean,Prima,Modern Trade,6.2,106.816666,0
TR88044,62,2022-01-04,P5,4200,5,21000,1,51,1,Married,13.62,Thai Tea,4200,Prima Tendean,Prima,Modern Trade,6.2,106.816666,1
TR90452,440,2022-01-04,P2,3200,5,16000,11,40,0,Married,3.47,Ginger Candy ,3200,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,2
TR98969,355,2022-01-04,P8,16000,1,16000,4,19,1,Single,0.0,Oat,16000,Gita Ginara,Gita,General Trade,6.966667,110.416664,0
TR10602,22,2022-01-05,P5,4200,3,12600,11,34,0,Single,9.91,Thai Tea,4200,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,2
TR24114,182,2022-01-05,P8,16000,1,16000,4,44,1,Married,14.57,Oat,16000,Gita Ginara,Gita,General Trade,6.966667,110.416664,2
TR35280,167,2022-01-05,P9,10000,1,10000,2,28,1,Married,2.91,Yoghurt,10000,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,0
TR36079,297,2022-01-05,P5,4200,4,16800,11,41,1,Married,12.13,Thai Tea,4200,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,2
TR43714,416,2022-01-05,P7,9400,2,18800,13,27,1,Married,3.43,Coffee Candy,9400,Buana,Buana,General Trade,1.26916,116.825264,0
TR46041,7,2022-01-05,P9,10000,5,50000,8,31,0,Married,4.57,Yoghurt,10000,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,0
TR60242,304,2022-01-05,P4,12000,1,12000,13,34,0,Single,8.55,Potato Chip,12000,Buana,Buana,General Trade,1.26916,116.825264,2
TR61100,278,2022-01-05,P8,16000,2,32000,2,31,1,Married,9.76,Oat,16000,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,2
TR61437,123,2022-01-05,P1,8800,4,35200,6,34,0,Married,4.36,Choco Bar,8800,Lingga,Lingga,Modern Trade,5.135399,119.42379,2
TR84132,22,2022-01-05,P9,10000,7,70000,14,34,0,Single,9.91,Yoghurt,10000,Priangan,Priangan,Modern Trade,5.45,105.26667,2
TR11638,67,2022-01-06,P2,3200,5,16000,12,19,0,Single,0.0,Ginger Candy ,3200,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,0
TR20374,282,2022-01-06,P2,3200,5,16000,3,55,0,Married,11.38,Ginger Candy ,3200,Prima Kota,Prima,Modern Trade,7.797068,110.370529,1
TR23183,84,2022-01-06,P4,12000,4,48000,9,54,0,Married,18.12,Potato Chip,12000,Lingga,Lingga,Modern Trade,3.654703,128.190643,1
TR24126,30,2022-01-06,P2,3200,3,9600,3,37,1,Single,2.26,Ginger Candy ,3200,Prima Kota,Prima,Modern Trade,7.797068,110.370529,2
TR32850,306,2022-01-06,P2,3200,3,9600,6,49,0,Married,16.52,Ginger Candy ,3200,Lingga,Lingga,Modern Trade,5.135399,119.42379,1
TR40523,176,2022-01-06,P3,7500,4,30000,2,54,1,Married,18.32,Crackers,7500,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,1
TR41572,366,2022-01-06,P6,18000,3,54000,3,18,0,Single,0.0,Cashew,18000,Prima Kota,Prima,Modern Trade,7.797068,110.370529,0
TR45142,438,2022-01-06,P10,15000,4,60000,10,36,1,Single,5.43,Cheese Stick,15000,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,2
TR73860,71,2022-01-06,P4,12000,4,48000,1,46,0,Married,12.42,Potato Chip,12000,Prima Tendean,Prima,Modern Trade,6.2,106.816666,1
TR74469,340,2022-01-06,P5,4200,4,16800,4,41,0,Single,10.9,Thai Tea,4200,Gita Ginara,Gita,General Trade,6.966667,110.416664,2
TR77963,116,2022-01-06,P3,7500,2,15000,7,51,1,Married,15.77,Crackers,7500,Buana Indah,Buana,General Trade,3.316694,114.590111,1
TR81478,20,2022-01-06,P5,4200,4,16800,8,43,0,Married,18.91,Thai Tea,4200,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,2
TR83042,102,2022-01-06,P2,3200,6,19200,10,39,0,Married,6.44,Ginger Candy ,3200,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,2
TR87914,161,2022-01-06,P5,4200,4,16800,9,41,0,Married,20.02,Thai Tea,4200,Lingga,Lingga,Modern Trade,3.654703,128.190643,2
TR92298,266,2022-01-06,P2,3200,6,19200,2,72,1,Married,4.72,Ginger Candy ,3200,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,1
TR95272,84,2022-01-06,P7,9400,3,28200,8,54,0,Married,18.12,Coffee Candy,9400,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,1
TR96723,240,2022-01-06,P5,4200,4,16800,14,22,1,Single,3.33,Thai Tea,4200,Priangan,Priangan,Modern Trade,5.45,105.26667,0
TR97562,264,2022-01-06,P5,4200,3,12600,14,21,1,Single,1.12,Thai Tea,4200,Priangan,Priangan,Modern Trade,5.45,105.26667,0
TR22660,43,2022-01-07,P5,4200,3,12600,13,53,0,Married,16.64,Thai Tea,4200,Buana,Buana,General Trade,1.26916,116.825264,1
TR23169,189,2022-01-07,P1,8800,7,61600,7,59,1,Single,5.15,Choco Bar,8800,Buana Indah,Buana,General Trade,3.316694,114.590111,1
TR28506,230,2022-01-07,P9,10000,3,30000,12,40,1,Married,4.32,Yoghurt,10000,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,2
TR31932,70,2022-01-07,P9,10000,4,40000,7,30,1,Married,4.42,Yoghurt,10000,Buana Indah,Buana,General Trade,3.316694,114.590111,0
TR38873,311,2022-01-07,P2,3200,6,19200,5,61,1,Married,7.64,Ginger Candy ,3200,Bonafid,Gita,General Trade,7.250445,112.768845,1
TR43744,233,2022-01-07,P2,3200,6,19200,8,43,1,Married,5.69,Ginger Candy ,3200,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,2
TR60853,74,2022-01-07,P2,3200,3,9600,6,3,1,Married,5.09,Ginger Candy ,3200,Lingga,Lingga,Modern Trade,5.135399,119.42379,0
TR73336,399,2022-01-07,P8,16000,3,48000,10,52,1,Single,33.77,Oat,16000,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,1
TR74427,43,2022-01-07,P8,16000,2,32000,3,53,0,Married,16.64,Oat,16000,Prima Kota,Prima,Modern Trade,7.797068,110.370529,1
TR23772,156,2022-01-08,P10,15000,1,15000,1,44,0,Married,3.87,Cheese Stick,15000,Prima Tendean,Prima,Modern Trade,6.2,106.816666,2
TR36287,157,2022-01-08,P7,9400,2,18800,2,44,0,Single,2.52,Coffee Candy,9400,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,2
TR40790,134,2022-01-08,P7,9400,4,37600,8,50,0,Married,18.62,Coffee Candy,9400,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,1
TR4331,335,2022-01-08,P3,7500,3,22500,12,29,1,Single,4.74,Crackers,7500,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,0
TR43444,240,2022-01-08,P4,12000,5,60000,2,22,1,Single,3.33,Potato Chip,12000,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,0
TR55617,9,2022-01-08,P7,9400,5,47000,9,33,0,Married,9.92,Coffee Candy,9400,Lingga,Lingga,Modern Trade,3.654703,128.190643,2
TR57273,344,2022-01-08,P4,12000,1,12000,10,47,1,Married,5.63,Potato Chip,12000,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,2
TR648,164,2022-01-08,P5,4200,3,12600,5,18,1,Single,0.0,Thai Tea,4200,Bonafid,Gita,General Trade,7.250445,112.768845,0
TR65337,12,2022-01-08,P5,4200,3,12600,3,2,1,Married,4.94,Thai Tea,4200,Prima Kota,Prima,Modern Trade,7.797068,110.370529,0
TR6602,211,2022-01-08,P8,16000,2,32000,5,29,0,Married,3.54,Oat,16000,Bonafid,Gita,General Trade,7.250445,112.768845,0
TR67501,85,2022-01-08,P4,12000,3,36000,13,59,1,Married,7.89,Potato Chip,12000,Buana,Buana,General Trade,1.26916,116.825264,1
TR70157,415,2022-01-08,P8,16000,2,32000,4,44,0,Married,18.57,Oat,16000,Gita Ginara,Gita,General Trade,6.966667,110.416664,2
TR84962,55,2022-01-08,P3,7500,5,37500,7,34,1,Married,8.44,Crackers,7500,Buana Indah,Buana,General Trade,3.316694,114.590111,2
TR89167,69,2022-01-08,P1,8800,5,44000,10,26,0,Single,2.84,Choco Bar,8800,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,0
TR90471,162,2022-01-08,P3,7500,3,22500,3,49,0,Married,11.46,Crackers,7500,Prima Kota,Prima,Modern Trade,7.797068,110.370529,1
TR14091,307,2022-01-09,P1,8800,5,44000,11,31,0,Married,5.22,Choco Bar,8800,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,0
TR28270,140,2022-01-09,P2,3200,7,22400,3,54,0,Married,9.57,Ginger Candy ,3200,Prima Kota,Prima,Modern Trade,7.797068,110.370529,1
TR48974,170,2022-01-09,P10,15000,1,15000,9,36,0,Married,7.55,Cheese Stick,15000,Lingga,Lingga,Modern Trade,3.654703,128.190643,2
TR52493,354,2022-01-09,P8,16000,1,16000,11,53,1,Married,16.94,Oat,16000,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,1
TR52613,135,2022-01-09,P5,4200,3,12600,9,41,0,Married,3.28,Thai Tea,4200,Lingga,Lingga,Modern Trade,3.654703,128.190643,2
TR53447,137,2022-01-09,P2,3200,4,12800,5,34,1,Married,6.36,Ginger Candy ,3200,Bonafid,Gita,General Trade,7.250445,112.768845,2
TR5513,62,2022-01-09,P4,12000,4,48000,2,51,1,Married,13.62,Potato Chip,12000,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,1
TR76965,241,2022-01-09,P1,8800,8,70400,3,24,1,Single,0.57,Choco Bar,8800,Prima Kota,Prima,Modern Trade,7.797068,110.370529,0
TR80326,269,2022-01-09,P8,16000,1,16000,2,39,1,Married,6.3,Oat,16000,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,2
TR858,340,2022-01-09,P8,16000,2,32000,14,41,0,Single,10.9,Oat,16000,Priangan,Priangan,Modern Trade,5.45,105.26667,2
TR8878,415,2022-01-09,P5,4200,3,12600,9,44,0,Married,18.57,Thai Tea,4200,Lingga,Lingga,Modern Trade,3.654703,128.190643,2
TR89449,178,2022-01-09,P5,4200,2,8400,11,43,0,Married,9.58,Thai Tea,4200,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,2
TR91332,385,2022-01-09,P9,10000,1,10000,10,41,1,Married,15.84,Yoghurt,10000,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,2
TR91669,241,2022-01-09,P5,4200,5,21000,2,24,1,Single,0.57,Thai Tea,4200,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,0
TR3291,13,2022-01-10,P4,12000,5,60000,14,23,0,Single,2.03,Potato Chip,12000,Priangan,Priangan,Modern Trade,5.45,105.26667,0
TR45059,17,2022-01-10,P1,8800,6,52800,9,35,0,Married,3.14,Choco Bar,8800,Lingga,Lingga,Modern Trade,3.654703,128.190643,2
TR47932,122,2022-01-10,P7,9400,3,28200,7,26,1,Single,0.14,Coffee Candy,9400,Buana Indah,Buana,General Trade,3.316694,114.590111,0
TR57616,446,2022-01-10,P1,8800,7,61600,2,57,0,Married,7.81,Choco Bar,8800,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,1
TR59952,321,2022-01-10,P4,12000,5,60000,14,45,0,Married,8.03,Potato Chip,12000,Priangan,Priangan,Modern Trade,5.45,105.26667,2
TR6445,181,2022-01-10,P3,7500,4,30000,12,33,1,Married,9.94,Crackers,7500,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,2
TR69307,23,2022-01-10,P8,16000,1,16000,1,57,1,Married,12.56,Oat,16000,Prima Tendean,Prima,Modern Trade,6.2,106.816666,1
TR69902,108,2022-01-10,P7,9400,2,18800,9,25,0,Single,6.87,Coffee Candy,9400,Lingga,Lingga,Modern Trade,3.654703,128.190643,0
TR7250,49,2022-01-10,P1,8800,7,61600,11,44,1,Married,13.48,Choco Bar,8800,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,2
TR77811,329,2022-01-10,P10,15000,2,30000,4,19,1,Single,0.0,Cheese Stick,15000,Gita Ginara,Gita,General Trade,6.966667,110.416664,0
TR80374,223,2022-01-10,P8,16000,3,48000,10,62,1,Single,5.35,Oat,16000,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,1
TR82224,246,2022-01-10,P2,3200,3,9600,12,40,1,Single,21.81,Ginger Candy ,3200,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,2
TR8236,249,2022-01-10,P2,3200,6,19200,7,47,0,Married,13.34,Ginger Candy ,3200,Buana Indah,Buana,General Trade,3.316694,114.590111,1
TR8369,64,2022-01-10,P3,7500,1,7500,4,48,1,Married,7.92,Crackers,7500,Gita Ginara,Gita,General Trade,6.966667,110.416664,1
TR86436,26,2022-01-10,P10,15000,1,15000,14,45,1,Married,7.83,Cheese Stick,15000,Priangan,Priangan,Modern Trade,5.45,105.26667,2
TR88217,442,2022-01-10,P9,10000,1,10000,8,42,1,Married,14.88,Yoghurt,10000,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,2
TR95284,229,2022-01-10,P2,3200,3,9600,2,32,0,Married,10.17,Ginger Candy ,3200,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,2
TR18566,8,2022-01-11,P3,7500,3,22500,8,37,1,Married,5.49,Crackers,7500,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,2
TR23232,168,2022-01-11,P2,3200,6,19200,1,27,0,Married,4.88,Ginger Candy ,3200,Prima Tendean,Prima,Modern Trade,6.2,106.816666,0
TR36166,256,2022-01-11,P10,15000,5,75000,12,56,0,Married,7.09,Cheese Stick,15000,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,1
TR36685,196,2022-01-11,P2,3200,6,19200,2,34,0,Married,3.17,Ginger Candy ,3200,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,2
TR40960,394,2022-01-11,P6,18000,1,18000,4,50,0,Married,7.19,Cashew,18000,Gita Ginara,Gita,General Trade,6.966667,110.416664,1
TR47732,329,2022-01-11,P2,3200,6,19200,4,19,1,Single,0.0,Ginger Candy ,3200,Gita Ginara,Gita,General Trade,6.966667,110.416664,0
TR57918,72,2022-01-11,P4,12000,5,60000,6,26,0,Single,1.81,Potato Chip,12000,Lingga,Lingga,Modern Trade,5.135399,119.42379,0
TR59286,278,2022-01-11,P7,9400,6,56400,8,31,1,Married,9.76,Coffee Candy,9400,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,2
TR63021,393,2022-01-11,P8,16000,1,16000,12,22,0,Single,0.0,Oat,16000,Prestasi Utama,Prestasi,General Trade,2.990934,104.756554,0
TR64748,232,2022-01-11,P5,4200,4,16800,9,62,0,Married,7.32,Thai Tea,4200,Lingga,Lingga,Modern Trade,3.654703,128.190643,1
TR6627,339,2022-01-11,P9,10000,6,60000,10,22,0,Single,2.19,Yoghurt,10000,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,0
TR71791,295,2022-01-11,P7,9400,5,47000,3,34,0,Married,4.78,Coffee Candy,9400,Prima Kota,Prima,Modern Trade,7.797068,110.370529,2
TR75052,151,2022-01-11,P3,7500,1,7500,2,42,0,Married,10.38,Crackers,7500,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,2
TR76046,16,2022-01-11,P8,16000,2,32000,1,52,0,Married,11.8,Oat,16000,Prima Tendean,Prima,Modern Trade,6.2,106.816666,1
TR84499,312,2022-01-11,P3,7500,3,22500,2,54,0,Married,18.77,Crackers,7500,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,1
TR85582,145,2022-01-11,P5,4200,4,16800,14,37,0,Single,14.59,Thai Tea,4200,Priangan,Priangan,Modern Trade,5.45,105.26667,2
TR93692,244,2022-01-11,P5,4200,5,21000,10,21,1,Single,3.64,Thai Tea,4200,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,0
TR94450,213,2022-01-11,P3,7500,6,45000,4,24,1,Single,5.72,Crackers,7500,Gita Ginara,Gita,General Trade,6.966667,110.416664,0
TR24515,347,2022-01-12,P10,15000,2,30000,7,26,1,Single,3.69,Cheese Stick,15000,Buana Indah,Buana,General Trade,3.316694,114.590111,0
TR24817,287,2022-01-12,P3,7500,1,7500,8,36,0,Single,3.7,Crackers,7500,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,2
TR25833,135,2022-01-12,P2,3200,4,12800,5,41,0,Married,3.28,Ginger Candy ,3200,Bonafid,Gita,General Trade,7.250445,112.768845,2
TR28633,201,2022-01-12,P9,10000,6,60000,2,57,0,Married,6.87,Yoghurt,10000,Prima Kelapa Dua,Prima,Modern Trade,6.914864,107.608238,1
TR39671,52,2022-01-12,P10,15000,2,30000,7,37,0,Married,3.73,Cheese Stick,15000,Buana Indah,Buana,General Trade,3.316694,114.590111,2
TR4401,342,2022-01-12,P4,12000,5,60000,3,48,1,Married,13.55,Potato Chip,12000,Prima Kota,Prima,Modern Trade,7.797068,110.370529,1
TR49649,154,2022-01-12,P10,15000,1,15000,10,31,0,Married,8.36,Cheese Stick,15000,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,2
TR69772,112,2022-01-12,P8,16000,1,16000,5,31,1,Married,4.44,Oat,16000,Bonafid,Gita,General Trade,7.250445,112.768845,0
TR76028,301,2022-01-12,P1,8800,8,70400,4,60,0,Married,8.97,Choco Bar,8800,Gita Ginara,Gita,General Trade,6.966667,110.416664,1
TR9420,28,2022-01-12,P8,16000,3,48000,9,55,0,Married,6.08,Oat,16000,Lingga,Lingga,Modern Trade,3.654703,128.190643,1
